,id,prediction
203,twitter_204,NOT_SARCASM
204,twitter_205,SARCASM
205,twitter_206,SARCASM
206,twitter_207,SARCASM
207,twitter_208,SARCASM
208,twitter_209,SARCASM
209,twitter_210,SARCASM
210,twitter_211,SARCASM
211,twitter_212,NOT_SARCASM
212,twitter_213,NOT_SARCASM
213,twitter_214,NOT_SARCASM
214,twitter_215,NOT_SARCASM
215,twitter_216,SARCASM
216,twitter_217,NOT_SARCASM
217,twitter_218,NOT_SARCASM
218,twitter_219,NOT_SARCASM
219,twitter_220,SARCASM
220,twitter_221,NOT_SARCASM
221,twitter_222,SARCASM
222,twitter_223,NOT_SARCASM
223,twitter_224,NOT_SARCASM
224,twitter_225,SARCASM
225,twitter_226,SARCASM
226,twitter_227,SARCASM
227,twitter_228,NOT_SARCASM
228,twitter_229,NOT_SARCASM
229,twitter_230,NOT_SARCASM
230,twitter_231,SARCASM
231,twitter_232,SARCASM
232,twitter_233,SARCASM
233,twitter_234,SARCASM
234,twitter_235,SARCASM
235,twitter_236,SARCASM
236,twitter_237,SARCASM
237,twitter_238,NOT_SARCASM
238,twitter_239,SARCASM
239,twitter_240,NOT_SARCASM
240,twitter_241,SARCASM
241,twitter_242,SARCASM
242,twitter_243,SARCASM
243,twitter_244,NOT_SARCASM
244,twitter_245,SARCASM
245,twitter_246,SARCASM
246,twitter_247,SARCASM
247,twitter_248,SARCASM
248,twitter_249,SARCASM
249,twitter_250,SARCASM
250,twitter_251,SARCASM
251,twitter_252,NOT_SARCASM
252,twitter_253,NOT_SARCASM
253,twitter_254,NOT_SARCASM
254,twitter_255,SARCASM
255,twitter_256,NOT_SARCASM
256,twitter_257,NOT_SARCASM
257,twitter_258,NOT_SARCASM
258,twitter_259,SARCASM
259,twitter_260,NOT_SARCASM
260,twitter_261,SARCASM
261,twitter_262,SARCASM
262,twitter_263,NOT_SARCASM
263,twitter_264,SARCASM
264,twitter_265,SARCASM
265,twitter_266,SARCASM
266,twitter_267,SARCASM
267,twitter_268,NOT_SARCASM
268,twitter_269,NOT_SARCASM
269,twitter_270,NOT_SARCASM
270,twitter_271,NOT_SARCASM
271,twitter_272,SARCASM
272,twitter_273,SARCASM
273,twitter_274,SARCASM
274,twitter_275,SARCASM
275,twitter_276,NOT_SARCASM
276,twitter_277,SARCASM
277,twitter_278,NOT_SARCASM
278,twitter_279,SARCASM
279,twitter_280,SARCASM
280,twitter_281,NOT_SARCASM
281,twitter_282,SARCASM
282,twitter_283,SARCASM
283,twitter_284,SARCASM
284,twitter_285,NOT_SARCASM
285,twitter_286,NOT_SARCASM
286,twitter_287,NOT_SARCASM
287,twitter_288,NOT_SARCASM
288,twitter_289,NOT_SARCASM
289,twitter_290,SARCASM
290,twitter_291,SARCASM
291,twitter_292,SARCASM
292,twitter_293,SARCASM
293,twitter_294,SARCASM
294,twitter_295,NOT_SARCASM
295,twitter_296,SARCASM
296,twitter_297,SARCASM
297,twitter_298,SARCASM
298,twitter_299,NOT_SARCASM
299,twitter_300,SARCASM
300,twitter_301,NOT_SARCASM
301,twitter_302,NOT_SARCASM
302,twitter_303,NOT_SARCASM
303,twitter_304,SARCASM
304,twitter_305,NOT_SARCASM
305,twitter_306,SARCASM
306,twitter_307,NOT_SARCASM
307,twitter_308,SARCASM
308,twitter_309,NOT_SARCASM
309,twitter_310,SARCASM
310,twitter_311,SARCASM
311,twitter_312,SARCASM
312,twitter_313,SARCASM
313,twitter_314,NOT_SARCASM
314,twitter_315,NOT_SARCASM
315,twitter_316,SARCASM
316,twitter_317,NOT_SARCASM
317,twitter_318,NOT_SARCASM
318,twitter_319,SARCASM
319,twitter_320,SARCASM
320,twitter_321,NOT_SARCASM
321,twitter_322,NOT_SARCASM
322,twitter_323,NOT_SARCASM
323,twitter_324,SARCASM
324,twitter_325,NOT_SARCASM
325,twitter_326,SARCASM
326,twitter_327,SARCASM
327,twitter_328,SARCASM
328,twitter_329,SARCASM
329,twitter_330,SARCASM
330,twitter_331,SARCASM
331,twitter_332,SARCASM
332,twitter_333,NOT_SARCASM
333,twitter_334,NOT_SARCASM
334,twitter_335,SARCASM
335,twitter_336,NOT_SARCASM
336,twitter_337,NOT_SARCASM
337,twitter_338,NOT_SARCASM
338,twitter_339,NOT_SARCASM
339,twitter_340,SARCASM
340,twitter_341,SARCASM
341,twitter_342,SARCASM
342,twitter_343,SARCASM
343,twitter_344,SARCASM
344,twitter_345,SARCASM
345,twitter_346,NOT_SARCASM
346,twitter_347,SARCASM
347,twitter_348,SARCASM
348,twitter_349,SARCASM
349,twitter_350,SARCASM
350,twitter_351,SARCASM
351,twitter_352,SARCASM
352,twitter_353,NOT_SARCASM
353,twitter_354,SARCASM
354,twitter_355,SARCASM
355,twitter_356,SARCASM
356,twitter_357,SARCASM
357,twitter_358,NOT_SARCASM
358,twitter_359,NOT_SARCASM
359,twitter_360,NOT_SARCASM
360,twitter_361,NOT_SARCASM
361,twitter_362,SARCASM
362,twitter_363,SARCASM
363,twitter_364,SARCASM
364,twitter_365,NOT_SARCASM
365,twitter_366,SARCASM
366,twitter_367,NOT_SARCASM
367,twitter_368,NOT_SARCASM
368,twitter_369,SARCASM
369,twitter_370,SARCASM
370,twitter_371,SARCASM
371,twitter_372,SARCASM
372,twitter_373,SARCASM
373,twitter_374,NOT_SARCASM
374,twitter_375,SARCASM
375,twitter_376,NOT_SARCASM
376,twitter_377,NOT_SARCASM
377,twitter_378,NOT_SARCASM
378,twitter_379,NOT_SARCASM
379,twitter_380,NOT_SARCASM
380,twitter_381,SARCASM
381,twitter_382,SARCASM
382,twitter_383,SARCASM
383,twitter_384,SARCASM
384,twitter_385,NOT_SARCASM
385,twitter_386,SARCASM
386,twitter_387,SARCASM
387,twitter_388,SARCASM
388,twitter_389,NOT_SARCASM
389,twitter_390,NOT_SARCASM
390,twitter_391,SARCASM
391,twitter_392,SARCASM
392,twitter_393,NOT_SARCASM
393,twitter_394,SARCASM
394,twitter_395,SARCASM
395,twitter_396,SARCASM
396,twitter_397,NOT_SARCASM
397,twitter_398,NOT_SARCASM
398,twitter_399,SARCASM
399,twitter_400,SARCASM
400,twitter_401,NOT_SARCASM
401,twitter_402,SARCASM
402,twitter_403,SARCASM
403,twitter_404,SARCASM
404,twitter_405,NOT_SARCASM
405,twitter_406,SARCASM
406,twitter_407,SARCASM
407,twitter_408,NOT_SARCASM
408,twitter_409,SARCASM
409,twitter_410,SARCASM
410,twitter_411,SARCASM
411,twitter_412,NOT_SARCASM
412,twitter_413,SARCASM
413,twitter_414,SARCASM
414,twitter_415,SARCASM
415,twitter_416,SARCASM
416,twitter_417,SARCASM
417,twitter_418,SARCASM
418,twitter_419,NOT_SARCASM
419,twitter_420,NOT_SARCASM
420,twitter_421,SARCASM
421,twitter_422,NOT_SARCASM
422,twitter_423,SARCASM
423,twitter_424,SARCASM
424,twitter_425,SARCASM
425,twitter_426,NOT_SARCASM
426,twitter_427,SARCASM
427,twitter_428,SARCASM
428,twitter_429,NOT_SARCASM
429,twitter_430,SARCASM
430,twitter_431,SARCASM
431,twitter_432,NOT_SARCASM
432,twitter_433,SARCASM
433,twitter_434,SARCASM
434,twitter_435,NOT_SARCASM
435,twitter_436,SARCASM
436,twitter_437,SARCASM
437,twitter_438,NOT_SARCASM
438,twitter_439,NOT_SARCASM
439,twitter_440,SARCASM
440,twitter_441,SARCASM
441,twitter_442,SARCASM
442,twitter_443,SARCASM
443,twitter_444,SARCASM
444,twitter_445,SARCASM
445,twitter_446,NOT_SARCASM
446,twitter_447,NOT_SARCASM
447,twitter_448,NOT_SARCASM
448,twitter_449,SARCASM
449,twitter_450,SARCASM
450,twitter_451,SARCASM
451,twitter_452,SARCASM
452,twitter_453,SARCASM
453,twitter_454,NOT_SARCASM
454,twitter_455,NOT_SARCASM
455,twitter_456,NOT_SARCASM
456,twitter_457,SARCASM
457,twitter_458,SARCASM
458,twitter_459,SARCASM
459,twitter_460,SARCASM
460,twitter_461,SARCASM
461,twitter_462,NOT_SARCASM
462,twitter_463,SARCASM
463,twitter_464,NOT_SARCASM
464,twitter_465,SARCASM
465,twitter_466,SARCASM
466,twitter_467,NOT_SARCASM
467,twitter_468,NOT_SARCASM
468,twitter_469,NOT_SARCASM
469,twitter_470,SARCASM
470,twitter_471,SARCASM
471,twitter_472,SARCASM
472,twitter_473,NOT_SARCASM
473,twitter_474,SARCASM
474,twitter_475,SARCASM
475,twitter_476,SARCASM
476,twitter_477,SARCASM
477,twitter_478,NOT_SARCASM
478,twitter_479,SARCASM
479,twitter_480,NOT_SARCASM
480,twitter_481,SARCASM
481,twitter_482,SARCASM
482,twitter_483,NOT_SARCASM
483,twitter_484,SARCASM
484,twitter_485,SARCASM
485,twitter_486,NOT_SARCASM
486,twitter_487,SARCASM
487,twitter_488,SARCASM
488,twitter_489,SARCASM
489,twitter_490,SARCASM
490,twitter_491,SARCASM
491,twitter_492,NOT_SARCASM
492,twitter_493,NOT_SARCASM
493,twitter_494,SARCASM
494,twitter_495,SARCASM
495,twitter_496,SARCASM
496,twitter_497,NOT_SARCASM
497,twitter_498,SARCASM
498,twitter_499,SARCASM
499,twitter_500,NOT_SARCASM
500,twitter_501,NOT_SARCASM
501,twitter_502,SARCASM
502,twitter_503,SARCASM
503,twitter_504,SARCASM
504,twitter_505,NOT_SARCASM
505,twitter_506,SARCASM
506,twitter_507,SARCASM
507,twitter_508,NOT_SARCASM
508,twitter_509,NOT_SARCASM
509,twitter_510,SARCASM
510,twitter_511,SARCASM
511,twitter_512,SARCASM
512,twitter_513,SARCASM
513,twitter_514,SARCASM
514,twitter_515,NOT_SARCASM
515,twitter_516,SARCASM
516,twitter_517,SARCASM
517,twitter_518,NOT_SARCASM
518,twitter_519,SARCASM
519,twitter_520,SARCASM
520,twitter_521,SARCASM
521,twitter_522,SARCASM
522,twitter_523,NOT_SARCASM
523,twitter_524,SARCASM
524,twitter_525,NOT_SARCASM
525,twitter_526,NOT_SARCASM
526,twitter_527,SARCASM
527,twitter_528,SARCASM
528,twitter_529,SARCASM
529,twitter_530,SARCASM
530,twitter_531,NOT_SARCASM
531,twitter_532,SARCASM
532,twitter_533,SARCASM
533,twitter_534,SARCASM
534,twitter_535,SARCASM
535,twitter_536,SARCASM
536,twitter_537,NOT_SARCASM
537,twitter_538,NOT_SARCASM
538,twitter_539,SARCASM
539,twitter_540,SARCASM
540,twitter_541,SARCASM
541,twitter_542,SARCASM
542,twitter_543,NOT_SARCASM
543,twitter_544,NOT_SARCASM
544,twitter_545,SARCASM
545,twitter_546,SARCASM
546,twitter_547,SARCASM
547,twitter_548,SARCASM
548,twitter_549,NOT_SARCASM
549,twitter_550,SARCASM
550,twitter_551,NOT_SARCASM
551,twitter_552,NOT_SARCASM
552,twitter_553,NOT_SARCASM
553,twitter_554,SARCASM
554,twitter_555,SARCASM
555,twitter_556,SARCASM
556,twitter_557,NOT_SARCASM
557,twitter_558,SARCASM
558,twitter_559,SARCASM
559,twitter_560,SARCASM
560,twitter_561,NOT_SARCASM
561,twitter_562,SARCASM
562,twitter_563,SARCASM
563,twitter_564,SARCASM
564,twitter_565,SARCASM
565,twitter_566,SARCASM
566,twitter_567,NOT_SARCASM
567,twitter_568,SARCASM
568,twitter_569,NOT_SARCASM
569,twitter_570,NOT_SARCASM
570,twitter_571,SARCASM
571,twitter_572,NOT_SARCASM
572,twitter_573,SARCASM
573,twitter_574,SARCASM
574,twitter_575,SARCASM
575,twitter_576,SARCASM
576,twitter_577,SARCASM
577,twitter_578,SARCASM
578,twitter_579,NOT_SARCASM
579,twitter_580,NOT_SARCASM
580,twitter_581,SARCASM
581,twitter_582,NOT_SARCASM
582,twitter_583,SARCASM
583,twitter_584,NOT_SARCASM
584,twitter_585,SARCASM
585,twitter_586,SARCASM
586,twitter_587,SARCASM
587,twitter_588,SARCASM
588,twitter_589,SARCASM
589,twitter_590,NOT_SARCASM
590,twitter_591,SARCASM
591,twitter_592,SARCASM
592,twitter_593,NOT_SARCASM
593,twitter_594,SARCASM
594,twitter_595,SARCASM
595,twitter_596,NOT_SARCASM
596,twitter_597,NOT_SARCASM
597,twitter_598,SARCASM
598,twitter_599,NOT_SARCASM
599,twitter_600,SARCASM
600,twitter_601,NOT_SARCASM
601,twitter_602,SARCASM
602,twitter_603,NOT_SARCASM
603,twitter_604,NOT_SARCASM
604,twitter_605,NOT_SARCASM
605,twitter_606,NOT_SARCASM
606,twitter_607,SARCASM
607,twitter_608,SARCASM
608,twitter_609,SARCASM
609,twitter_610,SARCASM
610,twitter_611,NOT_SARCASM
611,twitter_612,SARCASM
612,twitter_613,SARCASM
613,twitter_614,SARCASM
614,twitter_615,SARCASM
615,twitter_616,SARCASM
616,twitter_617,SARCASM
617,twitter_618,NOT_SARCASM
618,twitter_619,SARCASM
619,twitter_620,NOT_SARCASM
620,twitter_621,NOT_SARCASM
621,twitter_622,SARCASM
622,twitter_623,NOT_SARCASM
623,twitter_624,SARCASM
624,twitter_625,SARCASM
625,twitter_626,NOT_SARCASM
626,twitter_627,SARCASM
627,twitter_628,NOT_SARCASM
628,twitter_629,NOT_SARCASM
629,twitter_630,SARCASM
630,twitter_631,NOT_SARCASM
631,twitter_632,NOT_SARCASM
632,twitter_633,SARCASM
633,twitter_634,SARCASM
634,twitter_635,SARCASM
635,twitter_636,SARCASM
636,twitter_637,SARCASM
637,twitter_638,NOT_SARCASM
638,twitter_639,SARCASM
639,twitter_640,NOT_SARCASM
640,twitter_641,SARCASM
641,twitter_642,NOT_SARCASM
642,twitter_643,SARCASM
643,twitter_644,SARCASM
644,twitter_645,SARCASM
645,twitter_646,SARCASM
646,twitter_647,NOT_SARCASM
647,twitter_648,NOT_SARCASM
648,twitter_649,SARCASM
649,twitter_650,SARCASM
650,twitter_651,SARCASM
651,twitter_652,SARCASM
652,twitter_653,NOT_SARCASM
653,twitter_654,SARCASM
654,twitter_655,NOT_SARCASM
655,twitter_656,NOT_SARCASM
656,twitter_657,SARCASM
657,twitter_658,NOT_SARCASM
658,twitter_659,NOT_SARCASM
659,twitter_660,SARCASM
660,twitter_661,NOT_SARCASM
661,twitter_662,SARCASM
662,twitter_663,NOT_SARCASM
663,twitter_664,SARCASM
664,twitter_665,NOT_SARCASM
665,twitter_666,SARCASM
666,twitter_667,SARCASM
667,twitter_668,NOT_SARCASM
668,twitter_669,SARCASM
669,twitter_670,NOT_SARCASM
670,twitter_671,SARCASM
671,twitter_672,SARCASM
672,twitter_673,SARCASM
673,twitter_674,SARCASM
674,twitter_675,SARCASM
675,twitter_676,NOT_SARCASM
676,twitter_677,NOT_SARCASM
677,twitter_678,SARCASM
678,twitter_679,SARCASM
679,twitter_680,NOT_SARCASM
680,twitter_681,SARCASM
681,twitter_682,SARCASM
682,twitter_683,NOT_SARCASM
683,twitter_684,NOT_SARCASM
684,twitter_685,SARCASM
685,twitter_686,NOT_SARCASM
686,twitter_687,NOT_SARCASM
687,twitter_688,SARCASM
688,twitter_689,SARCASM
689,twitter_690,SARCASM
690,twitter_691,SARCASM
691,twitter_692,NOT_SARCASM
692,twitter_693,NOT_SARCASM
693,twitter_694,NOT_SARCASM
694,twitter_695,SARCASM
695,twitter_696,SARCASM
696,twitter_697,SARCASM
697,twitter_698,NOT_SARCASM
698,twitter_699,SARCASM
699,twitter_700,NOT_SARCASM
700,twitter_701,SARCASM
701,twitter_702,NOT_SARCASM
702,twitter_703,SARCASM
703,twitter_704,SARCASM
704,twitter_705,SARCASM
705,twitter_706,SARCASM
706,twitter_707,SARCASM
707,twitter_708,NOT_SARCASM
708,twitter_709,SARCASM
709,twitter_710,NOT_SARCASM
710,twitter_711,SARCASM
711,twitter_712,SARCASM
712,twitter_713,NOT_SARCASM
713,twitter_714,SARCASM
714,twitter_715,SARCASM
715,twitter_716,NOT_SARCASM
716,twitter_717,SARCASM
717,twitter_718,SARCASM
718,twitter_719,NOT_SARCASM
719,twitter_720,NOT_SARCASM
720,twitter_721,SARCASM
721,twitter_722,NOT_SARCASM
722,twitter_723,NOT_SARCASM
723,twitter_724,NOT_SARCASM
724,twitter_725,NOT_SARCASM
725,twitter_726,SARCASM
726,twitter_727,NOT_SARCASM
727,twitter_728,NOT_SARCASM
728,twitter_729,SARCASM
729,twitter_730,NOT_SARCASM
730,twitter_731,NOT_SARCASM
731,twitter_732,NOT_SARCASM
732,twitter_733,NOT_SARCASM
733,twitter_734,NOT_SARCASM
734,twitter_735,SARCASM
735,twitter_736,SARCASM
736,twitter_737,SARCASM
737,twitter_738,SARCASM
738,twitter_739,SARCASM
739,twitter_740,SARCASM
740,twitter_741,NOT_SARCASM
741,twitter_742,SARCASM
742,twitter_743,SARCASM
743,twitter_744,SARCASM
744,twitter_745,SARCASM
745,twitter_746,SARCASM
746,twitter_747,SARCASM
747,twitter_748,NOT_SARCASM
748,twitter_749,SARCASM
749,twitter_750,NOT_SARCASM
750,twitter_751,SARCASM
751,twitter_752,NOT_SARCASM
752,twitter_753,NOT_SARCASM
753,twitter_754,SARCASM
754,twitter_755,NOT_SARCASM
755,twitter_756,SARCASM
756,twitter_757,NOT_SARCASM
757,twitter_758,SARCASM
758,twitter_759,SARCASM
759,twitter_760,NOT_SARCASM
760,twitter_761,NOT_SARCASM
761,twitter_762,SARCASM
762,twitter_763,NOT_SARCASM
763,twitter_764,NOT_SARCASM
764,twitter_765,SARCASM
765,twitter_766,NOT_SARCASM
766,twitter_767,SARCASM
767,twitter_768,SARCASM
768,twitter_769,NOT_SARCASM
769,twitter_770,NOT_SARCASM
770,twitter_771,SARCASM
771,twitter_772,NOT_SARCASM
772,twitter_773,SARCASM
773,twitter_774,SARCASM
774,twitter_775,SARCASM
775,twitter_776,SARCASM
776,twitter_777,NOT_SARCASM
777,twitter_778,SARCASM
778,twitter_779,NOT_SARCASM
779,twitter_780,SARCASM
780,twitter_781,NOT_SARCASM
781,twitter_782,NOT_SARCASM
782,twitter_783,SARCASM
783,twitter_784,SARCASM
784,twitter_785,SARCASM
785,twitter_786,NOT_SARCASM
786,twitter_787,NOT_SARCASM
787,twitter_788,NOT_SARCASM
788,twitter_789,SARCASM
789,twitter_790,SARCASM
790,twitter_791,NOT_SARCASM
791,twitter_792,NOT_SARCASM
792,twitter_793,SARCASM
793,twitter_794,NOT_SARCASM
794,twitter_795,NOT_SARCASM
795,twitter_796,SARCASM
796,twitter_797,SARCASM
797,twitter_798,SARCASM
798,twitter_799,SARCASM
799,twitter_800,SARCASM
800,twitter_801,NOT_SARCASM
801,twitter_802,NOT_SARCASM
802,twitter_803,NOT_SARCASM
803,twitter_804,NOT_SARCASM
804,twitter_805,SARCASM
805,twitter_806,SARCASM
806,twitter_807,SARCASM
807,twitter_808,SARCASM
808,twitter_809,SARCASM
809,twitter_810,SARCASM
810,twitter_811,SARCASM
811,twitter_812,NOT_SARCASM
812,twitter_813,SARCASM
813,twitter_814,SARCASM
814,twitter_815,SARCASM
815,twitter_816,SARCASM
816,twitter_817,SARCASM
817,twitter_818,NOT_SARCASM
818,twitter_819,SARCASM
819,twitter_820,NOT_SARCASM
820,twitter_821,SARCASM
821,twitter_822,NOT_SARCASM
822,twitter_823,SARCASM
823,twitter_824,NOT_SARCASM
824,twitter_825,NOT_SARCASM
825,twitter_826,NOT_SARCASM
826,twitter_827,SARCASM
827,twitter_828,NOT_SARCASM
828,twitter_829,NOT_SARCASM
829,twitter_830,SARCASM
830,twitter_831,NOT_SARCASM
831,twitter_832,NOT_SARCASM
832,twitter_833,SARCASM
833,twitter_834,SARCASM
834,twitter_835,SARCASM
835,twitter_836,NOT_SARCASM
836,twitter_837,SARCASM
837,twitter_838,NOT_SARCASM
838,twitter_839,SARCASM
839,twitter_840,SARCASM
840,twitter_841,SARCASM
841,twitter_842,SARCASM
842,twitter_843,NOT_SARCASM
843,twitter_844,SARCASM
844,twitter_845,SARCASM
845,twitter_846,SARCASM
846,twitter_847,SARCASM
847,twitter_848,NOT_SARCASM
848,twitter_849,SARCASM
849,twitter_850,SARCASM
850,twitter_851,SARCASM
851,twitter_852,SARCASM
852,twitter_853,NOT_SARCASM
853,twitter_854,SARCASM
854,twitter_855,NOT_SARCASM
855,twitter_856,NOT_SARCASM
856,twitter_857,SARCASM
857,twitter_858,SARCASM
858,twitter_859,NOT_SARCASM
859,twitter_860,SARCASM
860,twitter_861,SARCASM
861,twitter_862,NOT_SARCASM
862,twitter_863,NOT_SARCASM
863,twitter_864,SARCASM
864,twitter_865,SARCASM
865,twitter_866,SARCASM
866,twitter_867,SARCASM
867,twitter_868,NOT_SARCASM
868,twitter_869,SARCASM
869,twitter_870,NOT_SARCASM
870,twitter_871,SARCASM
871,twitter_872,NOT_SARCASM
872,twitter_873,SARCASM
873,twitter_874,NOT_SARCASM
874,twitter_875,SARCASM
875,twitter_876,NOT_SARCASM
876,twitter_877,SARCASM
877,twitter_878,SARCASM
878,twitter_879,NOT_SARCASM
879,twitter_880,SARCASM
880,twitter_881,NOT_SARCASM
881,twitter_882,SARCASM
882,twitter_883,SARCASM
883,twitter_884,NOT_SARCASM
884,twitter_885,SARCASM
885,twitter_886,SARCASM
886,twitter_887,NOT_SARCASM
887,twitter_888,SARCASM
888,twitter_889,NOT_SARCASM
889,twitter_890,SARCASM
890,twitter_891,SARCASM
891,twitter_892,NOT_SARCASM
892,twitter_893,NOT_SARCASM
893,twitter_894,NOT_SARCASM
894,twitter_895,NOT_SARCASM
895,twitter_896,SARCASM
896,twitter_897,SARCASM
897,twitter_898,SARCASM
898,twitter_899,SARCASM
